food_name,protein_g,fat_g,carbohydrates_g,calories_kcal,water_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,potassium_mg,sodium_mg,vitamin_a_ug,vitamin_d_ug,vitamin_c_mg,vitamin_b12_ug,cholesterol_mg,sugar_g
"140 LARGE ECLAIR BUTTER 5""",16.41,34.6,,518,,1.5,52,2.01,,,,,,0,,,0.95
"1401: Hoagie Rolls, Whole Grain, Split Top, Hinge Sliced, 5"""". Produced in a nut-free facility.",7.02,1.75,43.86,228,,3.5,70,2.63,,140,333,,,17.5,,0,1.75
"1414 Mini Loaf, Whole Grain, Chocolate Chocolate Chip, Reduced Fat, Individually Wrapped. Kosher KVH-D. USDA Smart Snack approved. Produced in a nut-free facility.",5.26,10.53,47.37,298,,1.8,53,3.51,,211,193,,,,,53,24.56
vegetable fruit,2.5,0.5,18,80,76.5,3.5,38,0.8,18,385,125,55,0,28,0,0,8.5
"1430: Waffles, Round, Bulk. Contains egg, milk, soy, and wheat ingredients. This product is produced in a nut-free facility.",5.41,8.11,32.43,243,,0,81,1.89,,135,297,,,,,14,5.41
"1431: Pancakes, Buttermilk, Bulk. Produced in a nut-free facility.",5.26,3.95,39.47,211,,0,105,1.84,,105,263,,,,,13,13.16
"144 PUFF PASTRY TART SHELL 3.25""",8.51,30.04,,529,,3.4,0,0,,,,,,0,,,1.7
"144 ROULES 1"" SG",7.77,34.11,,512,,1.9,15,0.52,,97,,,,0,,,0.81
"1453: Waffles, Whole Grain, Wholesome Choice, Gourmet, Bulk. 144/1.3oz",5.41,8.11,37.84,243,,2.7,32,2.7,,141,365,,,,,14,5.41
"1454: Waffles, Whole Grain, Wholesome Choice, Gourmet, 2 Pack, produced in a nut-free facility.",2.7,8.11,21.62,162,,2.7,108,1.22,,108,324,,,,,14,5.41
"1475: Pancakes, Whole Grain, Wholesome Choice, Buttermilk, Bulk, 144/1.3oz",5.41,5.41,40.54,243,,2.7,81,1.89,,108,297,,,,,14,13.51
"1476: Pancakes, Whole Grain, Wholesome Choice, Buttermilk, 2 Pack. Produced in a nut-free facility.",5.41,4.73,41.89,230,,2.7,68,1.89,,108,297,,,,,14,13.51
"1478: Pancakes, Whole Grain, Wholesome Choice, Buttermilk, Maple Cinnamon, 2 Pack. USDA Smart Snack approved.",5.41,4.05,50,230,,0,95,1.76,,95,270,,,,,14,16.22
15 BEAN SOUP,22.86,1.43,57.14,343,,25.7,114,5.14,,1343,200,0,,0,,0,2.86
misiroti,8.5,5.5,46.5,265,34.5,4.5,45,2.8,38,285,285,12,0,4,0,0,2.5
"15 BEAN SOUP MIX, 15 BEAN",22.86,,62.86,343,,17.1,97,5.71,,1166,57,,,,,0,5.71
"15 FROZEN SHEETS BUTTER 11.4"" X 14.5""",4.88,27.92,,417,,1.5,,,,,,,,,,,0.63
"15 GRAIN & SEED BREAD, 15 GRAIN & SEED",9.3,4.65,46.51,256,,4.7,93,2.79,,163,488,,0,,,0,2.33
"15 GRAIN & SEED THIN SLICED BREAD, 15 GRAIN & SEED",10.71,4.763333333,44.05,250,,3.6,119,2.5,,143,482,,0,,,0,3.57
"15 GRAIN BREAD, 15 GRAIN",9.3,4.65,46.51,256,,2.3,93,2.33,,140,442,,,,,0,2.33
"15 GRAIN THIN SLICED BREAD, 15 GRAIN",10.71,5.36,53.57,286,,3.6,107,2.86,,179,536,,,,,0,3.57
"15 GRAIN WHOLE GRAIN BREAD, 15 GRAIN",12.24,5.1,44.9,265,,6.1,82,2.24,,204,265,,,,,0,6.12
15 HOT LEI JUICE,0,0,8.89,36,,0,0,0,,76,4,,,13.3,,0,7.56
"15 HOT LEI JUICE, ALKALINE WATER, PINEAPPLE, LEMON, HONEY, CAYENNE",0,0,8.89,36,,0,0,0,,76,4,,,13.3,,0,7.56
15 MINI VEGETABLE PAKORA,3.64,4.73,21.82,141,,2.7,36,1.31,,,818,,,2.7,,0,5.45
"15 WHOLE GRAIN BREAD, 15 WHOLE GRAIN",11.63,5.81,44.19,279,,7,93,2.79,,256,267,,0,,,0,6.98
sohan papdi,6.5,18.5,68.5,465,6.5,0.5,38,1.5,22,185,145,18,0,0.5,0,18,48.5
spaghetti bolognese,12.5,8.5,26,220,48.5,2.5,38,1.8,28,385,485,28,0,4,0.3,35,6.5
spaghetti carbonara,14.5,16.5,30.5,320,33.5,1.5,55,1.5,28,285,485,55,0.5,0.5,0.5,135,2.5
spring rolls,6.5,8.5,25.5,195,54.5,2,28,1.5,18,185,485,18,0,4,0,0,3.5
strawberry shortcake,4.5,12.5,40.5,285,38.5,1.5,55,0.8,12,165,245,18,0,8,0.1,42,22.5
sutar feni,5.5,18.5,65.5,440,8.5,0.8,28,1.5,12,145,125,8,0,0.5,0,18,38.5
tuna tartare,22.5,4.5,2.5,132,67.5,0,8,0.8,28,385,485,22,1,2,1.5,45,0
unni appam,3.5,8.5,52.5,295,31.5,2.5,28,1.5,18,185,185,5,0,0.5,0,12,28.5
vegetable fruit,2.5,0.5,18,80,76.5,3.5,38,0.8,18,385,125,55,0,28,0,0,8.5
"15+ BIO ACTIVE MANUKA HONEY WITH LEMON, LEMON",0,0,80.95,333,,,,,,,0,,,,,,71.43
150 CALORIES PENNE,10.71,1.79,75,268,,23.2,36,2.57,,161,71,,,0,,0,3.57
150 CALORIES PENNE RIGATE,12.5,1.79,73.21,268,,23.2,0,2.57,,,,,,0,,0,1.79
150 CALORIES ROTINI,12.5,1.79,73.21,268,,23.2,0,2.57,,,,,,0,,0,1.79
150 CALORIES THIN SPAGHETTI,11.605,1.79,75,268,,23.2,46,2.431111111,,161,71,,,,,0,2.68
150/200 CP&D SHRIMP,20,0,0,82,,0,61,3.18,,53,294,,,0,,159,0
150/200 CRAWFSH MEAT F/ON,17.65,1.18,0,82,,0,118,3.53,,294,188,,,0,,141,0
150/200 GULF PUD SHRIMP,20.54,1.79,0.89,107,,0,80,1.79,,80,152,,,0,,152,0
150/200 IQF PUD SHRIMP,11.61,0.89,0,54,,0,27,0,,80,598,,,0,,103,0
150/250 CKD SALAD SHRIMP,17.86,1.79,0,98,,0,54,2.41,,0,143,,,3.6,,89,0
150/UP GULF PUD SHRIMP,20.54,1.79,0.89,107,,0,70,1.61,,0,152,,,1.8,,152,0
"150B Breadstick, Cheese, WG - Comm",12.39,8.85,25.66,230,,1.8,273,1.77,,101,372,,,,,22,1.77
150CT ULTRA LOCO PERSONAL PAN BREAD,7.02,1.75,43.86,0,,5.3,18,2.46,,53,298,0,0,0,,0,1.75
